,From,To,Distance,Line
411,茶棚,颐和园西门,1505,西郊线路网车站站间距信息
412,颐和园西门,茶棚,1505,西郊线路网车站站间距信息
413,颐和园西门,巴沟,2922,西郊线路网车站站间距信息
414,巴沟,颐和园西门,2922,西郊线路网车站站间距信息
415,起始站名,目的站名,距离（米）,S1线路网车站站间距信息
416,石厂,小园,1297,S1线路网车站站间距信息
417,小园,栗园庄,1266,S1线路网车站站间距信息
418,栗园庄,上岸,1044,S1线路网车站站间距信息
419,上岸,桥户营,1065,S1线路网车站站间距信息
420,桥户营,四道桥,834,S1线路网车站站间距信息
421,四道桥,金安桥,2736,S1线路网车站站间距信息
422,金安桥,苹果园,1419,S1线路网车站站间距信息
423,起始站名,目的站名,距离（米）,燕房线路网车站站间距信息
424,燕山,房山城关,2076,燕房线路网车站站间距信息
425,房山城关,燕山,2076,燕房线路网车站站间距信息
426,房山城关,饶乐府,1777,燕房线路网车站站间距信息
427,饶乐府,房山城关,1777,燕房线路网车站站间距信息
428,饶乐府,马各庄,984,燕房线路网车站站间距信息
429,马各庄,饶乐府,984,燕房线路网车站站间距信息
430,马各庄,大石河东,2087,燕房线路网车站站间距信息
431,大石河东,马各庄,2087,燕房线路网车站站间距信息
432,大石河东,星城,1929,燕房线路网车站站间距信息
433,星城,大石河东,1929,燕房线路网车站站间距信息
434,星城,阎村,1649,燕房线路网车站站间距信息
435,阎村,星城,1649,燕房线路网车站站间距信息
436,阎村,紫草坞,1210,燕房线路网车站站间距信息
437,紫草坞,阎村,1210,燕房线路网车站站间距信息
438,紫草坞,阎村东,1541,燕房线路网车站站间距信息
439,阎村东,紫草坞,1541,燕房线路网车站站间距信息
440,起始站名,目的站名,距离（米）,大兴线路网车站站间距信息
441,公益西桥,新宫,2798,大兴线路网车站站间距信息
442,新宫,公益西桥,2798,大兴线路网车站站间距信息
443,新宫,西红门,5102,大兴线路网车站站间距信息
444,西红门,新宫,5102,大兴线路网车站站间距信息
445,西红门,高米店北,1810,大兴线路网车站站间距信息
446,高米店北,西红门,1810,大兴线路网车站站间距信息
447,高米店北,高米店南,1128,大兴线路网车站站间距信息
448,高米店南,高米店北,1128,大兴线路网车站站间距信息
449,高米店南,枣园,1096,大兴线路网车站站间距信息
450,枣园,高米店南,1096,大兴线路网车站站间距信息
451,枣园,清源路,1200,大兴线路网车站站间距信息
452,清源路,枣园,1200,大兴线路网车站站间距信息
453,清源路,黄村西大街,1214,大兴线路网车站站间距信息
454,黄村西大街,清源路,1214,大兴线路网车站站间距信息
455,黄村西大街,黄村火车站,987,大兴线路网车站站间距信息
456,黄村火车站,黄村西大街,987,大兴线路网车站站间距信息
457,黄村火车站,义和庄,2035,大兴线路网车站站间距信息
458,义和庄,黄村火车站,2035,大兴线路网车站站间距信息
459,义和庄,生物医药基地,2918,大兴线路网车站站间距信息
460,生物医药基地,义和庄,2918,大兴线路网车站站间距信息
461,生物医药基地,天宫院,1811,大兴线路网车站站间距信息
462,天宫院,生物医药基地,1811,大兴线路网车站站间距信息
463,起始站名,目的站名,距离（米）,昌平线路网车站站间距信息
